15:19:38  CPU mode
15:19:38  ============================================================
15:19:38  AVE FULL PIPELINE
15:19:38  ============================================================
15:19:38  
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  STAGE 1 — FEATURE EXTRACTION
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  Unique videos   : 4097
15:19:38  Already done    : 0
15:19:38  To extract      : 4097
15:19:38  Loading VGGish ...
15:20:53  VGGish ready.
15:20:53  Loading R(2+1)D-18 ...
15:21:31  R(2+1)D ready.
15:21:38    [   1/4097] c---zaDCTaE  7.5s  ETA 509 min
16:59:29    [2006/4097] 28lpUDQbsAU  2.4s  ETA 102 min
16:59:33    [2007/4097] 0EVyUEVloBc  4.1s  ETA 102 min
16:59:41    [2008/4097] 511xID91gOM  7.6s  ETA 102 min
16:59:45    [2009/4097] 7Ii3h-ogMEE  4.1s  ETA 102 min
16:59:51    [2010/4097] 6HNNRcOwdNc  6.0s  ETA 102 min
16:59:54    [2011/4097] 5kqVXgLVzhk  3.0s  ETA 102 min
17:00:00    [2012/4097] 5I8SBO3Usws  6.2s  ETA 102 min
17:00:07    [2013/4097] 2hcY8kXQj60  7.5s  ETA 102 min
17:00:11    [2014/4097] 6S6YUyHN56Y  3.1s  ETA 102 min
17:00:17    [2015/4097] 0bQnpp4aB_Q  6.3s  ETA 102 min
17:00:22    [2016/4097] 0rhSFPtqAhI  4.8s  ETA 102 min
17:00:24    [2017/4097] 1wXZatca5OU  2.2s  ETA 102 min
17:00:26    [2018/4097] -xqoOAYnNEo  2.2s  ETA 102 min
17:00:30    [2019/4097] 0AR5GulKZKo  4.0s  ETA 102 min
17:00:36    [2020/4097] 27HIamF8pKo  6.1s  ETA 102 min
17:00:38    [2021/4097] 18wd5CmRyFU  2.3s  ETA 102 min
17:00:43    [2022/4097] 7YHdWiSOChc  4.8s  ETA 102 min
17:00:45    [2023/4097] 5Ny7dTGshOk  1.6s  ETA 102 min
17:02:12    [2024/4097] -5jTPNu2Unc  87.3s  ETA 103 min
17:02:14    [2025/4097] 2BMHsKLcb7E  1.5s  ETA 103 min
17:02:17    [2026/4097] 3JR1kD2HQ_s  3.4s  ETA 103 min
17:02:18    [2027/4097] 3n4G4MbYRFE  1.3s  ETA 103 min
17:02:22    [2028/4097] 6lo3w_bSHwY  3.8s  ETA 103 min
17:02:28    [2029/4097] 4YNcm3tknVw  5.8s  ETA 103 min
17:02:33    [2030/4097] 7gCJvUklOco  4.7s  ETA 103 min
17:02:36    [2031/4097] 4ZHPpXmdG0g  3.8s  ETA 103 min
17:02:41    [2032/4097] 4-nx7nOna50  4.4s  ETA 103 min
17:02:45    [2033/4097] 1JfnWSwbxCw  3.8s  ETA 103 min
17:02:46    [2034/4097] 6FQKuPSCNzo  1.3s  ETA 103 min
17:02:49    [2035/4097] 3ndid3jni7M  3.2s  ETA 103 min
17:02:51    [2036/4097] 5oLozmidBnY  1.7s  ETA 103 min
17:02:55    [2037/4097] 2QXhTsNhzIQ  4.5s  ETA 103 min
17:02:57    [2038/4097] -1oRfe0FQI8  1.8s  ETA 102 min
17:02:59    [2039/4097] 0smuyAnjIJI  1.6s  ETA 102 min
17:03:00    [2040/4097] -u9BxBNcrw4  1.4s  ETA 102 min
17:03:02    [2041/4097] 0ACYrfUrcJU  1.6s  ETA 102 min
17:03:07    [2042/4097] 6CRbv7wRxMU  5.2s  ETA 102 min
17:03:11    [2043/4097] 6D8-2JQ6G0c  4.4s  ETA 102 min
17:03:16    [2044/4097] 0B8Wt5PiL1k  4.5s  ETA 102 min
17:03:22    [2045/4097] 2iwPgYGH_Ew  6.3s  ETA 102 min
17:03:26    [2046/4097] -OanzatsuDY  4.2s  ETA 102 min
17:03:28    [2047/4097] 0NXdGlo-Mwo  1.9s  ETA 102 min
17:03:30    [2048/4097] -U1ebnHfHEU  1.3s  ETA 102 min
17:03:35    [2049/4097] 0095-_8T5ZY  4.9s  ETA 102 min
17:03:40    [2050/4097] 13guh6z6X6g  5.2s  ETA 102 min
17:03:42    [2051/4097] 28AvGZWnCg8  1.8s  ETA 102 min
17:03:45    [2052/4097] 7QsxGFPOZrQ  3.8s  ETA 102 min
17:03:51    [2053/4097] 3rZKZ2bDiHQ  5.5s  ETA 102 min
17:03:56    [2054/4097] 7-NlcX-d0w4  5.3s  ETA 102 min
17:03:58    [2055/4097] 6XUF56FlKvg  1.8s  ETA 102 min
17:03:59    [2056/4097] 5yOga-6uyD8  1.3s  ETA 102 min
17:04:05    [2057/4097] 0kh5HKETL0A  5.5s  ETA 102 min
17:04:10    [2058/4097] 0QKj8bSma1g  5.0s  ETA 102 min
17:04:14    [2059/4097] 3k_4mlinK9w  4.2s  ETA 102 min
17:04:16    [2060/4097] 6hACE_1iS1I  2.1s  ETA 102 min
17:04:21    [2061/4097] 3Sml1wHcuxo  4.7s  ETA 102 min
17:04:23    [2062/4097] 1NIO0HSFUIo  2.3s  ETA 102 min
17:04:25    [2063/4097] 6xNjvLpKhrw  1.9s  ETA 101 min
17:04:27    [2064/4097] 2yRlRl8prmo  2.4s  ETA 101 min
17:04:32    [2065/4097] 1PaQmRw_VIs  4.9s  ETA 101 min
17:04:34    [2066/4097] -n2qmn-4i3E  1.8s  ETA 101 min
17:04:37    [2067/4097] 3W-kCKzE4Lc  2.9s  ETA 101 min
17:04:43    [2068/4097] 4QHVLFkpiAI  6.4s  ETA 101 min
17:04:51    [2069/4097] 3UNrlWS46wI  7.3s  ETA 101 min
17:04:52    [2070/4097] 7XL--db_qQ4  1.7s  ETA 101 min
17:04:55    [2071/4097] 4zCGF-4R-Ws  2.3s  ETA 101 min
17:04:57    [2072/4097] 1WzI9RX3CnE  2.6s  ETA 101 min
17:04:59    [2073/4097] 5XYm_gWJmkk  2.2s  ETA 101 min
17:05:07    [2074/4097] -qu6yqh6F_k  7.6s  ETA 101 min
17:05:11    [2075/4097] -EovwXDEidU  4.3s  ETA 101 min
17:05:13    [2076/4097] -RFRH50Qobg  2.1s  ETA 101 min
17:05:18    [2077/4097] 1UtX_r3nZp0  5.1s  ETA 101 min
17:05:20    [2078/4097] 2HNc9hg37Zs  2.0s  ETA 101 min
17:05:22    [2079/4097] 2tA9BBVzx5k  1.9s  ETA 101 min
17:05:26    [2080/4097] 6vsTXT8XJP4  4.1s  ETA 101 min
17:05:30    [2081/4097] 2vXwxPcjmdc  3.9s  ETA 101 min
17:05:38    [2082/4097] 2ceUOv8A3FE  7.5s  ETA 101 min
17:05:44    [2083/4097] 6RptdyF2Nu8  6.5s  ETA 101 min
17:05:48    [2084/4097] 3_pAoiTNFys  4.1s  ETA 101 min
17:05:55    [2085/4097] -A3K0_gtK4c  7.2s  ETA 101 min
17:05:57    [2086/4097] 4z_y47YsieE  1.5s  ETA 101 min
17:06:03    [2087/4097] 6A9IBFSVYwY  5.8s  ETA 101 min
17:06:05    [2088/4097] 3fmEdb87BcU  2.5s  ETA 101 min
17:06:13    [2089/4097] 5R7ChPxlWjM  7.3s  ETA 101 min
17:06:15    [2090/4097] 5ttWKdrpWHU  2.2s  ETA 101 min
17:06:22    [2091/4097] 2WTDsKqQbZc  7.1s  ETA 101 min
17:06:24    [2092/4097] 3TB0dB1r59M  2.1s  ETA 101 min
17:06:31    [2093/4097] 7XsWZg3eUs8  6.7s  ETA 101 min
17:06:33    [2094/4097] 0PJ6PRTzoWs  2.6s  ETA 100 min
17:06:35    [2095/4097] 1iUXERALOOs  2.2s  ETA 100 min
17:06:43    [2096/4097] 7KdSGBzXvz8  7.3s  ETA 100 min
17:06:50    [2097/4097] -JaQwrOeCYs  7.3s  ETA 100 min
17:06:52    [2098/4097] 6hRncnuF1NY  2.2s  ETA 100 min
17:06:54    [2099/4097] 4QYxw4ca0go  2.1s  ETA 100 min
17:06:57    [2100/4097] 1ceprZO-VEU  2.5s  ETA 100 min
17:07:00    [2101/4097] 6ZB-UngiUMM  3.3s  ETA 100 min
17:07:02    [2102/4097] 0ktrXv5sR4s  1.9s  ETA 100 min
17:07:08    [2103/4097] 5sDXHnJBVms  5.8s  ETA 100 min
17:07:12    [2104/4097] 53oq_Otm_XI  3.9s  ETA 100 min
17:07:17    [2105/4097] 4tlvzARr7lQ  5.7s  ETA 100 min
17:07:24    [2106/4097] ---1_cCGK4M  6.5s  ETA 100 min
17:07:29    [2107/4097] 255C0OODvTA  5.2s  ETA 100 min
17:07:32    [2108/4097] 4y7SGVV--Ds  2.5s  ETA 100 min
17:07:37    [2109/4097] 5XquGZ5QZms  5.1s  ETA 100 min
17:07:44    [2110/4097] 2QsWNp64ERU  7.8s  ETA 100 min
17:07:46    [2111/4097] 5OYAI-pXAMo  1.7s  ETA 100 min
17:07:52    [2112/4097] 7JWHbs3gu1w  6.0s  ETA 100 min
17:07:54    [2113/4097] -Oo5KT8cycI  1.5s  ETA 100 min
17:07:59    [2114/4097] -QvVYdS1X1M  5.6s  ETA 100 min
17:08:05    [2115/4097] 2wadsgHvSAM  5.3s  ETA 100 min
17:08:06    [2116/4097] 3GP_mBH2D5U  1.8s  ETA 100 min
17:08:09    [2117/4097] 2ofpux29XGM  2.3s  ETA 100 min
17:08:14    [2118/4097] 2P5SAsilxeM  5.5s  ETA 100 min
17:08:21    [2119/4097] -hAjyh3rqqc  6.8s  ETA 100 min
17:08:23    [2120/4097] 28dSHMdwY_I  1.7s  ETA 100 min
17:08:31    [2121/4097] 0yETgW44MZU  8.0s  ETA 100 min
17:08:34    [2122/4097] 1tQys1GnFwU  4.0s  ETA 100 min
17:08:37    [2123/4097] -FBT_lY07L0  2.1s  ETA 100 min
17:08:43    [2124/4097] 2E3r-Dfb1NE  6.3s  ETA 100 min
17:08:45    [2125/4097] 296yTJSr6uI  2.6s  ETA 100 min
17:08:50    [2126/4097] 51DAVKSdj4Y  5.0s  ETA 100 min
17:08:52    [2127/4097] 7X3i7llSK9U  1.8s  ETA 99 min
17:08:59    [2128/4097] 2bSkMSmVolk  6.9s  ETA 99 min
17:09:01    [2129/4097] 2MzX4ArMlBg  1.5s  ETA 99 min
17:09:08    [2130/4097] -z6NOS2bnCk  7.0s  ETA 99 min
17:09:10    [2131/4097] -eVdi8PdMh4  2.6s  ETA 99 min
17:11:58    [2132/4097] 5seNyvFJ_X4  167.7s  ETA 102 min
17:11:59    [2133/4097] 2rYqQH_iBm8  1.3s  ETA 102 min
17:12:03    [2134/4097] 1TBD_xpFAHQ  3.4s  ETA 102 min
17:12:04    [2135/4097] 3qnpOqvnKTo  1.5s  ETA 102 min
17:12:05    [2136/4097] 0nPbMeub5HU  1.3s  ETA 102 min
17:12:08    [2137/4097] 4NfpeAUeVUY  2.8s  ETA 101 min
17:12:13    [2138/4097] 7QEqRkxpwfU  4.6s  ETA 101 min
17:12:17    [2139/4097] 7rBsX5BNkEs  3.9s  ETA 101 min
17:12:20    [2140/4097] 9lIuZfpWZ1A  3.3s  ETA 101 min
17:12:21    [2141/4097] -JL78b6hi3A  1.3s  ETA 101 min
17:12:23    [2142/4097] HEqn0tgCtDM  1.5s  ETA 101 min
17:12:27    [2143/4097] G2yfNNDR8tA  4.4s  ETA 101 min
17:12:29    [2144/4097] -6pLGGF7dEI  1.5s  ETA 101 min
17:12:30    [2145/4097] QSgqjJ2iglM  1.4s  ETA 101 min
17:12:34    [2146/4097] RZ-25-R2yOc  4.0s  ETA 101 min
17:12:38    [2147/4097] 7PYQAzEiNc8  3.8s  ETA 101 min
17:12:39    [2148/4097] OPoQ8rYEQAQ  1.0s  ETA 101 min
17:12:40    [2149/4097] GL3JL2S3JBk  0.9s  ETA 101 min
17:12:43    [2150/4097] TIeB9Ys55KM  3.3s  ETA 101 min
17:12:44    [2151/4097] 2ZgGPpzjD-Y  1.3s  ETA 101 min
17:12:46    [2152/4097] HYRRG2fbiDE  1.2s  ETA 101 min
17:12:47    [2153/4097] 15t7uWnpXUI  1.3s  ETA 100 min
17:12:48    [2154/4097] KzLIV1RR1Ig  1.4s  ETA 100 min
17:12:49    [2155/4097] G42WbjmRLn0  1.1s  ETA 100 min
17:12:54    [2156/4097] 5oW8arAFDOg  4.6s  ETA 100 min
17:12:58    [2157/4097] OaMdMAq68hY  3.8s  ETA 100 min
17:12:59    [2158/4097] EZDqMetpnI0  1.2s  ETA 100 min
17:13:01    [2159/4097] -ZsFEZ92YzI  1.5s  ETA 100 min
17:13:02    [2160/4097] Cj0z4MmWYdw  1.1s  ETA 100 min
17:13:06    [2161/4097] Nbq_CyxC3XU  4.1s  ETA 100 min
17:13:10    [2162/4097] QalR0dtk9Xs  4.5s  ETA 100 min
17:13:12    [2163/4097] T2racTSEOUc  1.7s  ETA 100 min
17:13:13    [2164/4097] 5BdcUvdab3k  1.1s  ETA 100 min
17:13:15    [2165/4097] 2kjkEcDDr4I  1.6s  ETA 100 min
17:13:16    [2166/4097] 8wbYSIqgduc  1.3s  ETA 100 min
17:13:17    [2167/4097] H4QhOHejyzE  1.3s  ETA 100 min
17:13:22    [2168/4097] EDsWcIijZCw  4.5s  ETA 100 min
17:13:26    [2169/4097] H2rIs4Nz8Lg  4.7s  ETA 99 min
17:13:28    [2170/4097] 2Qk5L8KoM90  1.1s  ETA 99 min
17:13:29    [2171/4097] KnZrJKI6yus  1.7s  ETA 99 min
17:13:31    [2172/4097] 9B7U1OSNU0o  1.6s  ETA 99 min
17:13:33    [2173/4097] 5-c8YiltWcw  2.3s  ETA 99 min
17:13:35    [2174/4097] G-Rkt13H-kk  2.2s  ETA 99 min
17:13:37    [2175/4097] 4oTkYH0wLq4  1.4s  ETA 99 min
17:13:39    [2176/4097] 6Qx-Ps4Qroo  1.8s  ETA 99 min
17:13:43    [2177/4097] SK9DGzNEKb0  4.0s  ETA 99 min
17:13:44    [2178/4097] JFJ24afZ_Fs  1.1s  ETA 99 min
17:13:45    [2179/4097] -h9REoRVzYY  1.5s  ETA 99 min
17:13:47    [2180/4097] -C6QgrNGGMo  1.5s  ETA 99 min
17:13:48    [2181/4097] 71A-eTp_bc0  1.6s  ETA 99 min
17:13:49    [2182/4097] TBwH_C_q0KI  1.1s  ETA 99 min
17:13:51    [2183/4097] 7X92vZiKi7o  1.4s  ETA 98 min
17:13:52    [2184/4097] C2fLuBUVj-g  1.4s  ETA 98 min
17:13:54    [2185/4097] Ef0ozkh5t-Y  1.5s  ETA 98 min
17:13:55    [2186/4097] 71z8yKE0Imk  1.5s  ETA 98 min
17:14:00    [2187/4097] AyemIt_rQ5g  4.7s  ETA 98 min
17:14:06    [2188/4097] THcQKnqD3_Y  5.7s  ETA 98 min
17:14:07    [2189/4097] U4nhmciONvk  1.3s  ETA 98 min
17:14:09    [2190/4097] SOMymsNBxHs  1.9s  ETA 98 min
17:14:11    [2191/4097] HgaACU-IS1c  2.1s  ETA 98 min
17:14:13    [2192/4097] 2ZeDIC4POcQ  1.9s  ETA 98 min
17:14:19    [2193/4097] S3bE2b9p5Mg  6.7s  ETA 98 min
17:14:21    [2194/4097] 3VoGCV4JJCk  1.9s  ETA 98 min
17:14:27    [2195/4097] M09IRnW6mDY  5.3s  ETA 98 min
17:14:28    [2196/4097] -5kRgp_lxpk  1.4s  ETA 98 min
17:14:30    [2197/4097] SbZpkhIbP84  1.9s  ETA 98 min
17:14:36    [2198/4097] G23Me3A60b8  5.9s  ETA 98 min
17:14:39    [2199/4097] J4MfYfhPTh4  3.0s  ETA 98 min
17:14:41    [2200/4097] 1F91ttmVR-E  1.8s  ETA 98 min
17:14:42    [2201/4097] 5BZW0xGIFDE  1.9s  ETA 98 min
17:14:45    [2202/4097] 9Xuqt4YyyhU  2.6s  ETA 97 min
17:14:47    [2203/4097] OL63NVm1v7A  2.3s  ETA 97 min
17:14:49    [2204/4097] K87g-ye5CBE  2.1s  ETA 97 min
17:14:54    [2205/4097] KsfLJ3YHhHo  4.7s  ETA 97 min
17:15:00    [2206/4097] RlkVC38UKPw  5.5s  ETA 97 min
17:15:02    [2207/4097] Qw2wxu0URHM  2.2s  ETA 97 min
17:15:05    [2208/4097] 5VuYBSLbyr8  2.7s  ETA 97 min
17:15:12    [2209/4097] 0j1-0Y6lGck  7.2s  ETA 97 min
17:15:17    [2210/4097] EzPcuNoSHMM  5.4s  ETA 97 min
17:15:20    [2211/4097] Bk9tGQ4jvhU  3.0s  ETA 97 min
17:15:21    [2212/4097] DDJ2B4vpC2k  1.1s  ETA 97 min
17:15:26    [2213/4097] BCkJt4wi-cE  4.7s  ETA 97 min
17:15:29    [2214/4097] AZmQOcwsdQE  2.7s  ETA 97 min
17:15:31    [2215/4097] 5f6RijX5c8E  1.9s  ETA 97 min
17:15:35    [2216/4097] -6n82E5zyuY  4.5s  ETA 97 min
17:15:39    [2217/4097] NSz_1Xj_Skc  3.9s  ETA 97 min
17:15:41    [2218/4097] 1xat7fl_LSo  2.2s  ETA 97 min
17:15:43    [2219/4097] Lji7Mm1aCgI  1.7s  ETA 97 min
17:15:46    [2220/4097] 54XNhwZdXEc  2.5s  ETA 97 min
17:15:51    [2221/4097] M6otcd7ea2U  5.7s  ETA 97 min
17:15:58    [2222/4097] AAwMzLmNPcg  6.7s  ETA 97 min
17:16:01    [2223/4097] -guAT8rQA4o  3.3s  ETA 97 min
17:16:03    [2224/4097] KIkz8eNtdqo  2.1s  ETA 96 min
17:16:05    [2225/4097] FzTaWlxFJMI  1.4s  ETA 96 min
17:16:06    [2226/4097] 9nQalgeHLXY  1.3s  ETA 96 min
17:16:09    [2227/4097] ASm7147jW48  3.4s  ETA 96 min
17:16:11    [2228/4097] 83dRnWywde8  1.8s  ETA 96 min
17:16:13    [2229/4097] KjRwAdR7dno  2.2s  ETA 96 min
17:16:18    [2230/4097] CJCwr2gl2CM  4.3s  ETA 96 min
17:16:20    [2231/4097] 8T66UE27d6k  1.9s  ETA 96 min
17:16:22    [2232/4097] D2GrGAQchBY  2.6s  ETA 96 min
17:16:26    [2233/4097] G0gRRosFHSA  3.7s  ETA 96 min
17:16:28    [2234/4097] ITaIdQQz8UQ  2.2s  ETA 96 min
17:16:30    [2235/4097] AIDhyqwbUNU  2.1s  ETA 96 min
17:16:35    [2236/4097] KZUIx94Gsps  4.6s  ETA 96 min
17:16:39    [2237/4097] 0brq4I0WAls  3.8s  ETA 96 min
17:16:41    [2238/4097] ORo5aQ7_42o  2.5s  ETA 96 min
17:16:46    [2239/4097] MZUxosbbAjQ  4.8s  ETA 96 min
17:16:50    [2240/4097] 4dzzfgvKuqU  4.6s  ETA 96 min
17:16:52    [2241/4097] RTe-0YG5QS8  1.6s  ETA 96 min
17:16:54    [2242/4097] S9VYYZg0t-E  2.1s  ETA 95 min
17:16:59    [2243/4097] 9IItZmu_HbQ  4.8s  ETA 95 min
17:17:03    [2244/4097] 1EI58xGWnWg  4.5s  ETA 95 min
17:17:08    [2245/4097] 5vlP7iCnWt4  4.7s  ETA 95 min
17:17:10    [2246/4097] 8T0HsvI09Ns  2.0s  ETA 95 min
17:17:12    [2247/4097] JRVGGFlLZ8Y  2.2s  ETA 95 min
17:17:14    [2248/4097] MmnhEdf9tZU  1.6s  ETA 95 min
17:17:16    [2249/4097] 26y1JLJWZyI  2.0s  ETA 95 min
17:17:18    [2250/4097] 6dJ5UfaJ-fE  1.6s  ETA 95 min
17:17:20    [2251/4097] MNva8cCYixc  2.0s  ETA 95 min
17:17:23    [2252/4097] Goo5YHuZyRU  3.6s  ETA 95 min
17:17:25    [2253/4097] R9X92tiwMOc  2.0s  ETA 95 min
17:17:30    [2254/4097] Ru7m8PyMlVM  5.3s  ETA 95 min
17:17:33    [2255/4097] 0H533OGPZ2o  2.6s  ETA 95 min
17:17:35    [2256/4097] 2fr9dpxS1o0  1.6s  ETA 95 min
17:17:38    [2257/4097] 6YiNpnGqviM  3.3s  ETA 95 min
17:17:40    [2258/4097] DqxBpDRABqI  1.9s  ETA 95 min
17:17:41    [2259/4097] N7FoTTBAVkM  1.7s  ETA 95 min
17:17:46    [2260/4097] A0N38yb3QCk  4.4s  ETA 94 min
17:17:48    [2261/4097] 4sIaZJJ0QMY  1.7s  ETA 94 min
17:17:52    [2262/4097] 17Q-GgtKWqs  4.1s  ETA 94 min
17:17:53    [2263/4097] Fs2OcY5pKDQ  1.4s  ETA 94 min
17:18:00    [2264/4097] MeDBPr3YYlY  7.5s  ETA 94 min
17:18:02    [2265/4097] D3KJJRRUvNs  1.7s  ETA 94 min
17:18:09    [2266/4097] D7RhslPmr9M  6.4s  ETA 94 min
17:18:11    [2267/4097] 1UUhMZAgU_c  2.1s  ETA 94 min
17:18:13    [2268/4097] 5xOWesepO7U  2.6s  ETA 94 min
17:18:19    [2269/4097] 4m4aH1ZE9gI  5.6s  ETA 94 min
17:18:21    [2270/4097] -1P74acOb3c  2.5s  ETA 94 min
17:18:28    [2271/4097] 6qUpG7Zapj8  7.0s  ETA 94 min
17:18:34    [2272/4097] 67Ika3reFWg  5.8s  ETA 94 min
17:18:36    [2273/4097] 3qWfr7guPDs  1.9s  ETA 94 min
17:18:38    [2274/4097] -Xr7HusAEvY  1.8s  ETA 94 min
17:18:40    [2275/4097] 1eSCkm6XHHc  1.9s  ETA 94 min
17:18:42    [2276/4097] 6JoGfDBPXTk  2.2s  ETA 94 min
17:18:48    [2277/4097] 5zLQNFQ2cFI  6.2s  ETA 94 min
17:18:54    [2278/4097] 4BazFix9xzg  5.8s  ETA 94 min
17:18:57    [2279/4097] -LQuCzisPK0  2.8s  ETA 94 min
17:18:59    [2280/4097] 4Iq0UsC_cqY  2.2s  ETA 94 min
17:19:08    [2281/4097] -2-sma5HfXo  8.7s  ETA 94 min
17:19:13    [2282/4097] 4z01EVU2FXo  5.0s  ETA 94 min
17:19:18    [2283/4097] 4ESpG1obQgs  5.3s  ETA 94 min
17:19:20    [2284/4097] 2JkATIeI0Ow  1.8s  ETA 94 min
17:19:24    [2285/4097] 3HCjfsCbhSg  4.5s  ETA 93 min
17:19:26    [2286/4097] 3HCtXBpR_zo  2.1s  ETA 93 min
17:19:28    [2287/4097] 5iFpQ5mtMug  1.6s  ETA 93 min
17:19:30    [2288/4097] 3LSrPiD23fI  2.2s  ETA 93 min
17:19:32    [2289/4097] 5-_A-vF9N58  2.1s  ETA 93 min
17:19:37    [2290/4097] 05EetL8zJUs  4.3s  ETA 93 min
17:19:38    [2291/4097] 1UTaPnm3tTA  1.8s  ETA 93 min
17:19:44    [2292/4097] 4wqmxClvupU  5.8s  ETA 93 min
17:19:46    [2293/4097] 0XmfK5P_3RU  1.6s  ETA 93 min
17:19:48    [2294/4097] 1I39Wl3JGAw  2.4s  ETA 93 min
17:19:51    [2295/4097] 2b7zZRDMLJc  2.4s  ETA 93 min
17:19:52    [2296/4097] -3xhrOw45ss  1.9s  ETA 93 min
17:19:55    [2297/4097] 0eYgYrenUv8  2.3s  ETA 93 min
17:19:59    [2298/4097] 2Fkh-PUx2SA  3.9s  ETA 93 min
17:20:00    [2299/4097] 4TSUsNphq-U  1.6s  ETA 93 min
17:20:07    [2300/4097] 1JUSlR465lg  6.3s  ETA 93 min
17:20:12    [2301/4097] -QCh8luHaBI  5.6s  ETA 93 min
17:20:18    [2302/4097] 4umEvJi2rRE  6.3s  ETA 93 min
17:20:21    [2303/4097] 0qMmJlVlupQ  2.1s  ETA 93 min
17:20:23    [2304/4097] 54by0PnKycA  2.3s  ETA 93 min
17:20:24    [2305/4097] 2wME2IbkbOY  1.5s  ETA 92 min
17:20:31    [2306/4097] 04DjKHZ3IOc  6.9s  ETA 92 min
17:20:39    [2307/4097] -RmBbZuxWmg  7.4s  ETA 92 min
17:20:40    [2308/4097] 7DYqi_JU6gw  1.8s  ETA 92 min
17:20:43    [2309/4097] 1iXKgat2Ejc  2.3s  ETA 92 min
17:20:48    [2310/4097] 33Fcg1gc7WA  5.7s  ETA 92 min
17:20:50    [2311/4097] 4Y27QuXXBps  1.8s  ETA 92 min
17:20:52    [2312/4097] 1COTNE5iwpw  2.3s  ETA 92 min
17:20:54    [2313/4097] 43kp_izNnKU  1.8s  ETA 92 min
17:20:56    [2314/4097] 7DAFryqUedg  2.0s  ETA 92 min
17:20:58    [2315/4097] -PljzzluWNw  2.1s  ETA 92 min
17:21:03    [2316/4097] 74k_Bq3hlNc  4.7s  ETA 92 min
17:21:05    [2317/4097] 13QhOWzVbPg  2.2s  ETA 92 min
17:21:08    [2318/4097] 6n_Mb2OO3vY  2.2s  ETA 92 min
17:21:09    [2319/4097] 6uSSkoqyMvk  1.8s  ETA 92 min
17:21:12    [2320/4097] -nXyb1Fakjg  2.5s  ETA 92 min
17:21:14    [2321/4097] 39KgkK23Zmk  1.7s  ETA 92 min
17:21:16    [2322/4097] 0Zk4rGgntXw  2.5s  ETA 92 min
17:21:18    [2323/4097] 0lXPYBYtBt0  1.9s  ETA 91 min
17:21:24    [2324/4097] 6kEEmWamSKU  5.4s  ETA 91 min
17:21:29    [2325/4097] 4zciMA4sFQY  5.3s  ETA 91 min
17:21:31    [2326/4097] 1ZQ9NZkgg0I  2.1s  ETA 91 min
17:21:33    [2327/4097] 4WUABQYm7ZU  1.9s  ETA 91 min
17:21:35    [2328/4097] 00_do2b96M8  1.8s  ETA 91 min
17:21:37    [2329/4097] 14ptT2dPCag  2.0s  ETA 91 min
17:21:41    [2330/4097] 470xac8EMEA  4.8s  ETA 91 min
17:21:47    [2331/4097] 1cmo1SGxJnc  5.8s  ETA 91 min
17:21:50    [2332/4097] 3XA5GpxtbAc  2.9s  ETA 91 min
17:21:55    [2333/4097] 53BIo9Alu2o  5.1s  ETA 91 min
17:21:58    [2334/4097] -izECjXmjO4  2.4s  ETA 91 min
17:21:59    [2335/4097] 2W7k7nvGkdI  1.6s  ETA 91 min
17:22:01    [2336/4097] 5SzhhEJQlyk  1.6s  ETA 91 min
17:22:08    [2337/4097] 1ij4byJM8ts  6.8s  ETA 91 min
17:22:10    [2338/4097] 5MKd2koggOI  2.2s  ETA 91 min
17:22:12    [2339/4097] 6OSEf-W1gmc  1.9s  ETA 91 min
17:22:14    [2340/4097] 6Ld7FQHOuW0  1.8s  ETA 91 min
17:22:16    [2341/4097] 3q-xiLU-jaM  2.0s  ETA 91 min
17:22:17    [2342/4097] 5hxOprt5W2o  1.7s  ETA 91 min
17:22:19    [2343/4097] 6m5AkQNUrsU  1.4s  ETA 90 min
17:22:20    [2344/4097] 4S17Sgal57E  1.8s  ETA 90 min
17:22:26    [2345/4097] 0AdFpWOtHbg  5.3s  ETA 90 min
17:22:28    [2346/4097] 3tD9tWqs3vY  2.1s  ETA 90 min
17:22:32    [2347/4097] 4UbZjOQ5vkw  4.5s  ETA 90 min
17:22:34    [2348/4097] 1NNT9pvflZk  1.4s  ETA 90 min
17:22:36    [2349/4097] 31nHi_FplaU  2.5s  ETA 90 min
17:22:40    [2350/4097] -T8cE60OKHQ  3.5s  ETA 90 min
17:22:42    [2351/4097] -wGAzd51XRE  2.5s  ETA 90 min
17:22:46    [2352/4097] 5npF8GtaaNA  3.8s  ETA 90 min
17:22:48    [2353/4097] 0v0ibcCdanE  1.7s  ETA 90 min
17:22:50    [2354/4097] -RD0aTeWg14  2.4s  ETA 90 min
17:22:52    [2355/4097] -ty5tv-2kys  1.9s  ETA 90 min
17:22:58    [2356/4097] 2iTo49F8QcI  6.2s  ETA 90 min
17:23:05    [2357/4097] 3M_ohr7o5W0  6.2s  ETA 90 min
17:23:10    [2358/4097] 0sKuwJFDM0g  5.2s  ETA 90 min
17:23:11    [2359/4097] -cOKtj7xFTc  1.4s  ETA 90 min
17:23:19    [2360/4097] 1DFNOFVNs5g  7.4s  ETA 90 min
17:23:20    [2361/4097] 1-z6ZJyeOHs  1.8s  ETA 90 min
17:23:27    [2362/4097] -_9pg2ryrx4  6.5s  ETA 90 min
17:23:31    [2363/4097] 4ftnQdEaLO8  3.9s  ETA 90 min
